id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
1,f,f,3,1,212,15,15,,,f,f,,,f,f,f,
2,f,f,10,2,212,15,9,,,f,f,,,f,f,f,
3,f,f,16,3,212,15,17,,,f,f,,,f,f,f,
4,f,f,21,4,212,15,34,,,f,f,,,f,f,f,
5,f,f,27,5,212,15,27,,,f,f,,,f,f,f,
6,f,f,35,6,212,15,32,,,f,f,,,f,f,f,
7,f,f,36,7,212,15,3,,,f,f,,,f,f,f,
8,f,f,4,8,212,14,31,,,f,f,,,f,f,f,
9,f,f,16,9,212,14,8,,,f,f,,,f,f,f,
10,f,f,41,10,212,15,29,,,f,f,,,f,f,f,
11,f,f,46,11,212,15,26,,,f,f,,,f,f,f,
12,f,f,47,12,212,15,11,,,f,f,,,f,f,f,
13,f,f,53,13,212,15,5,,,f,f,,,f,f,f,
14,f,f,60,14,212,15,19,,,f,f,,,f,f,f,
15,f,f,66,15,212,15,30,,,f,f,,,f,f,f,
16,f,f,71,16,212,15,33,,,f,f,,,f,f,f,
17,f,f,75,17,212,15,6,,,f,f,,,f,f,f,
18,f,f,81,18,212,15,16,,,f,f,,,f,f,f,
19,f,f,84,19,212,15,28,,,f,f,,,f,f,f,
20,f,f,,20,212,,,,,f,f,,,f,f,f,
21,f,f,90,21,212,15,22,,,f,f,,,f,f,f,
22,f,f,98,22,212,15,25,,,f,f,,,f,f,f,
23,f,f,103,23,212,15,13,,,f,f,,,f,f,f,
24,f,f,106,24,212,15,21,,,f,f,,,f,f,f,
25,f,f,111,25,212,15,2,,,f,f,,,f,f,f,
26,f,f,119,26,212,15,14,,,f,f,,,f,f,f,
27,f,f,120,27,212,15,18,,,f,f,,,f,f,f,
28,f,f,125,28,212,15,20,,,f,f,,,f,f,f,
29,f,f,129,29,212,15,23,,,f,f,,,f,f,f,
30,f,f,134,30,212,15,4,,,f,f,,,f,f,f,
31,f,f,138,31,212,15,10,,,f,f,,,f,f,f,
